canonical,rule_type,pattern,status,shared,note
Pfizer,exact_normalized,pfizer,attribute,no,base name; covers 'Pfizer' / 'Pfizer Inc.'
Pfizer,subsidiary_of,pfizer,attribute,no,"registry self-describes: 'X, a wholly owned subsidiary of Pfizer'"
Merck & Co,exact_normalized,merck sharp and dohme,attribute,no,MSD = Merck & Co registrant name
Merck & Co,subsidiary_of,merck sharp and dohme,attribute,no,subsidiaries naming MSD as parent
Merck & Co,subsidiary_of,merck,attribute,no,"parents written 'Merck & Co., Inc.' normalize to 'merck'; KGaA parents keep 'kgaa' so no collision"
Merck KGaA,exact_normalized,merck kgaa darmstadt germany,attribute,no,German Merck; kgaa suffix deliberately kept by normalize()
Merck KGaA,exact_normalized,emd serono,attribute,no,EMD Serono = Merck KGaA US biopharma arm
Merck KGaA,exact_literal,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",attribute,no,added from audit 2026-08-31; 'affiliate' wording not parsed by subsidiary regex
GlaxoSmithKline,exact_normalized,glaxosmithkline,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
AstraZeneca,exact_normalized,astrazeneca,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Novartis Pharmaceuticals,exact_normalized,novartis pharmaceuticals,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Boehringer Ingelheim,exact_normalized,boehringer ingelheim,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Hoffmann-La Roche,exact_normalized,hoffmann-la roche,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Eli Lilly and Company,exact_normalized,eli lilly,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Bayer,exact_normalized,bayer,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Bristol-Myers Squibb,exact_normalized,bristol-myers squibb,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Sanofi,exact_normalized,sanofi,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Novo Nordisk A/S,exact_normalized,novo nordisk a/s,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Amgen,exact_normalized,amgen,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Takeda,exact_normalized,takeda,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
AbbVie,exact_normalized,abbvie,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
"Janssen Research & Development, LLC",exact_normalized,janssen research and development,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
Novartis,exact_normalized,novartis,attribute,no,auto-seeded 2026-08-31 from top-100 industry lead sponsors by trial count; label and scope pending review
